initial_queue_waiting_time,algorithm,metric_type,sample_id,value
3,ROFF,energy_consumption,64,118540.50296581956
3,ROFF,energy_consumption,65,117405.69001771053
3,ROFF,energy_consumption,66,130931.41841476345
3,ROFF,energy_consumption,67,116647.38380918914
3,ROFF,energy_consumption,68,148798.71492075082
3,ROFF,energy_consumption,69,116356.68357533264
3,ROFF,energy_consumption,70,115994.16692202156
3,ROFF,energy_consumption,71,129508.78395812586
3,ROFF,energy_consumption,72,116839.04162370133
3,ROFF,energy_consumption,73,150906.43765858933
3,ROFF,energy_consumption,74,116637.45450019128
3,ROFF,energy_consumption,75,119196.98797032272
3,ROFF,energy_consumption,76,127601.61759089064
3,ROFF,energy_consumption,77,117240.39158072187
3,ROFF,energy_consumption,78,149379.82832450807
3,ROFF,energy_consumption,79,114919.82014873961
3,ROFF,energy_consumption,80,116222.70358638199
3,ROFF,energy_consumption,81,131410.10762951776
3,ROFF,energy_consumption,82,117717.47346021868
3,ROFF,energy_consumption,83,156290.36666136017
3,ROFF,energy_consumption,84,115277.32450772097
3,ROFF,energy_consumption,85,116099.42989745596
3,ROFF,energy_consumption,86,126611.07235243302
3,ROFF,energy_consumption,87,114704.98806162164
3,ROFF,energy_consumption,88,149070.87683845995
3,ROFF,energy_consumption,89,115167.84277499153
3,ROFF,energy_consumption,90,118910.86149915817
3,ROFF,energy_consumption,91,131815.4056445962
3,ROFF,energy_consumption,92,114904.37260637869
3,ROFF,energy_consumption,93,146878.7751242513
3,ROFF,energy_consumption,94,118381.46384082401
3,ROFF,energy_consumption,95,122165.46123364636
3,ROFF,energy_consumption,96,130281.32416082012
3,ROFF,energy_consumption,97,122788.81079576712
3,ROFF,energy_consumption,98,152054.29914477924
3,ROFF,energy_consumption,99,111094.28017606286
3,GTT,energy_consumption,0,31.50099115995206
3,GTT,energy_consumption,1,0.9762288589180084
3,GTT,energy_consumption,2,1.427418067516331
3,GTT,energy_consumption,3,1.980057646314674
3,GTT,energy_consumption,4,37.54474092827479
3,GTT,energy_consumption,5,31.406308596766582
